gen,brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9,brain10,brain11,brain12,brain13,brain14,brain15,brain16,brain17,brain18,brain19,brain20,brain21,brain22,brain23,brain24,brain25,brain26,brain27,brain28,brain29,brain30,brain31,brain32,brain33,brain34,brain35,brain36,brain37,brain38,brain39,brain40,brain41,brain42,brain43,brain44,brain45,brain46,brain47,brain48,brain49,brain50,brain51,brain52,brain53,brain54,brain55,brain56,brain57,brain58,brain59,brain60,brain61,brain62,brain63,brain64,brain65,brain66,brain67,brain68,brain69,brain70,brain71,brain72,brain73,brain74,brain75,brain76,brain77,brain78,brain79,brain80,brain81,brain82,brain83,brain84,brain85,brain86,brain87,brain88,brain89,brain90,brain91,brain92,brain93,brain94,brain95,brain96,brain97,brain98,brain99,brain100
108,1811.845,1757.922,1720.019,1708.501,1683.268,1646.476,1642.807,1641.412,1639.934,1636.869,1634.167,1631.875,1610.690,1610.690,1607.815,1603.089,1602.532,1590.076,1577.006,1566.786,1524.125,1441.591,1423.744,1418.727,1417.312,1416.323,1367.623,1367.399,1365.050,1347.905,1300.738,1290.279,1235.201,1214.956,1210.645,1203.043,1181.246,1173.325,1152.903,1096.875,1076.516,1021.563,1011.605,979.710,969.475,956.624,954.275,918.910,872.554,824.291,817.664,762.682,758.979,757.304,738.542,724.646,714.428,700.236,652.851,646.121,617.368,561.536,550.100,546.936,491.583,467.431,444.551,435.705,410.036,407.531,399.087,397.089,379.957,372.772,343.374,328.102,326.512,314.888,296.151,295.382,261.094,257.172,247.036,243.460,238.282,236.587,223.595,222.863,210.734,198.596,179.827,155.490,138.618,132.034,118.651,102.203,96.919,90.193,77.953,65.288
109,1758.114,1718.957,1679.852,1669.844,1667.061,1666.689,1649.259,1643.738,1631.698,1621.720,1618.297,1605.636,1597.227,1592.912,1578.900,1578.559,1568.931,1564.994,1553.772,1546.017,1546.017,1543.331,1533.039,1533.039,1523.577,1465.843,1430.031,1386.759,1381.578,1377.191,1367.395,1367.395,1306.839,1292.932,1238.895,1227.574,1225.644,1214.616,1150.977,1114.803,1036.191,1029.062,1027.170,950.012,928.177,873.247,870.870,813.171,758.988,746.496,737.019,726.734,696.726,685.077,676.895,658.737,653.919,641.628,641.064,616.820,615.237,597.425,577.040,537.645,423.476,390.046,375.813,370.222,369.242,348.303,334.602,306.078,293.460,286.039,262.726,259.730,247.148,241.563,227.636,226.199,213.014,208.184,199.059,196.163,194.763,186.741,157.302,139.291,137.963,129.440,128.670,127.586,122.885,121.249,111.841,105.313,95.213,75.529,70.539,48.252
110,1771.853,1725.285,1687.201,1643.724,1630.801,1630.328,1628.185,1616.916,1613.435,1608.489,1608.100,1607.613,1601.720,1600.906,1599.305,1564.521,1560.849,1553.361,1542.739,1478.866,1478.866,1477.536,1476.480,1441.710,1378.482,1345.557,1334.137,1301.792,1291.792,1245.795,1226.542,1212.169,1187.939,1187.081,1171.391,1146.984,1093.665,1082.614,1065.177,1055.726,1019.829,1018.701,871.719,856.889,840.629,767.409,724.085,706.035,651.502,617.005,556.379,511.560,509.135,505.879,476.476,454.588,449.312,447.098,431.151,425.836,422.293,396.430,396.029,393.749,388.447,388.008,385.088,377.314,373.700,371.357,369.093,367.658,366.381,349.280,334.793,334.197,312.001,307.853,304.470,263.444,256.127,249.025,247.427,241.883,225.254,217.329,215.344,205.952,166.107,157.593,156.665,147.547,130.153,113.757,106.873,104.654,103.660,96.346,92.964,88.333
111,1780.031,1732.297,1709.998,1688.706,1675.206,1669.145,1666.123,1650.525,1647.865,1626.996,1623.978,1621.943,1605.043,1601.197,1585.413,1576.277,1570.767,1566.261,1541.154,1515.684,1483.201,1475.042,1468.743,1459.861,1438.912,1431.669,1417.844,1393.203,1388.236,1382.697,1378.380,1353.178,1342.909,1339.626,1324.853,1302.490,1280.131,1275.596,1270.118,1249.116,1249.116,1195.073,1177.236,1168.598,1165.930,1159.097,1159.097,1158.195,1098.299,1076.088,1058.403,1018.342,975.793,925.047,858.804,853.738,825.805,781.154,739.409,729.713,668.297,660.773,655.849,651.629,611.644,599.551,507.424,489.983,470.463,405.459,371.038,363.717,353.426,311.174,301.080,287.632,282.134,265.079,249.148,240.695,232.824,229.627,216.891,205.623,205.615,199.815,199.348,185.662,178.951,175.207,163.573,154.483,131.814,120.641,111.450,108.504,84.229,71.792,58.898,45.253
112,1754.955,1719.055,1707.243,1704.549,1697.568,1646.993,1646.523,1642.154,1623.071,1622.355,1611.861,1610.784,1605.272,1601.382,1598.957,1596.712,1595.950,1583.786,1570.913,1558.579,1542.891,1540.654,1527.494,1515.352,1493.756,1492.577,1481.581,1442.801,1424.250,1383.161,1352.244,1277.415,1251.409,1244.321,1188.914,1185.749,1181.398,1159.643,1152.644,1148.155,1136.364,1132.852,1116.688,1042.092,972.978,963.341,933.456,865.062,704.819,680.371,677.194,618.130,616.852,562.292,556.189,552.638,550.850,512.668,475.329,470.932,426.056,425.237,392.924,390.762,364.124,362.615,338.576,324.262,320.220,311.227,302.431,272.997,265.590,265.189,257.686,256.359,243.686,241.470,225.443,222.868,214.523,212.158,196.401,193.423,185.099,181.691,178.777,175.813,162.306,156.198,148.815,118.528,107.257,96.228,81.955,70.098,58.772,45.440,41.337,33.960
113,1805.408,1758.527,1693.488,1690.247,1685.837,1674.152,1668.351,1662.920,1658.672,1647.571,1645.805,1630.848,1618.272,1604.029,1601.769,1595.472,1592.016,1585.886,1549.138,1544.933,1543.224,1542.134,1528.771,1526.338,1524.676,1504.743,1485.522,1484.849,1467.419,1439.819,1439.715,1399.950,1391.724,1378.067,1374.738,1361.776,1325.584,1311.468,1293.210,1271.974,1249.456,1241.833,1229.769,1213.471,1154.941,1104.040,1080.605,1080.549,1061.588,993.131,974.144,973.855,928.188,913.647,881.272,866.193,860.006,845.589,832.061,797.065,792.739,786.483,706.687,693.540,690.197,638.998,539.800,505.354,496.313,477.944,431.269,422.729,395.960,383.065,368.284,363.356,318.964,305.695,298.754,286.719,246.725,243.499,235.141,234.554,230.371,229.901,217.831,209.945,199.438,178.497,169.445,143.930,142.299,134.996,129.836,79.317,63.482,40.768,34.894,23.744
114,1779.806,1759.800,1752.978,1745.018,1729.401,1725.443,1700.457,1693.715,1691.294,1687.576,1676.332,1663.476,1649.989,1648.034,1629.105,1627.086,1624.089,1617.996,1614.390,1609.252,1594.158,1584.792,1544.960,1519.088,1517.086,1484.097,1430.356,1411.616,1409.876,1404.470,1402.456,1399.264,1374.544,1360.161,1341.120,1334.463,1299.046,1238.029,1180.580,1083.880,1035.714,1016.540,1011.783,981.139,978.790,911.612,883.132,863.066,834.429,761.173,759.783,759.783,739.081,739.081,708.912,704.689,684.093,575.009,526.453,517.159,495.156,467.123,465.615,436.709,433.789,422.730,387.889,382.085,376.999,376.333,370.375,366.866,365.039,332.223,327.936,313.187,286.585,279.757,276.886,274.169,249.711,234.355,228.157,224.981,210.531,209.918,206.558,193.106,174.583,161.713,149.184,123.953,115.575,109.043,105.171,94.222,89.060,77.900,76.730,9.366
115,1926.591,1747.937,1742.241,1739.257,1738.277,1736.939,1732.543,1730.473,1708.995,1698.313,1690.808,1658.117,1656.269,1645.321,1623.867,1622.751,1613.681,1613.145,1609.197,1603.775,1600.756,1595.060,1592.099,1591.174,1573.999,1567.643,1530.025,1508.517,1488.791,1484.501,1478.830,1458.799,1450.470,1410.667,1409.800,1383.831,1371.224,1354.762,1336.961,1322.256,1314.665,1236.041,1230.052,1120.382,1097.180,1094.165,1087.591,1044.431,1041.571,1003.225,958.507,903.405,835.524,773.383,756.941,701.955,700.252,695.583,691.712,679.888,612.164,607.899,560.575,533.858,479.609,451.393,445.909,387.346,374.457,364.792,364.647,358.929,348.703,295.302,283.410,281.603,270.701,259.723,246.596,227.184,222.335,212.622,211.886,207.372,197.734,192.650,182.540,171.179,155.869,155.301,138.284,131.254,120.936,113.817,78.458,70.086,67.930,36.034,19.199,-0.983
116,1781.883,1756.984,1739.791,1739.550,1734.890,1709.891,1704.480,1696.646,1691.939,1687.274,1672.190,1665.024,1660.937,1659.835,1653.152,1650.469,1647.489,1643.515,1641.598,1622.604,1584.424,1571.794,1551.295,1518.400,1512.505,1470.828,1450.024,1408.453,1374.185,1365.282,1317.916,1317.841,1311.068,1286.624,1171.949,1150.794,1113.322,1080.191,1053.348,1030.637,1019.851,972.767,963.926,949.154,948.232,948.232,938.904,921.888,908.860,903.189,749.339,637.542,612.402,610.837,601.388,580.302,574.452,513.450,461.916,432.467,432.467,417.091,394.875,376.755,373.371,373.303,368.980,362.392,348.377,327.225,325.920,305.236,294.368,284.899,277.025,261.669,260.424,252.156,223.677,200.824,193.111,191.433,185.735,181.293,167.922,159.048,157.197,138.180,128.621,126.031,123.648,114.131,103.729,102.182,89.049,69.459,67.566,65.013,64.876,57.376
117,1860.800,1815.556,1811.984,1805.093,1765.527,1743.386,1742.932,1742.659,1737.601,1734.854,1733.985,1733.365,1711.848,1696.507,1692.534,1687.759,1673.548,1661.327,1660.557,1660.293,1659.889,1657.592,1649.208,1643.831,1643.704,1642.429,1625.141,1616.284,1605.419,1605.373,1591.877,1573.225,1548.662,1525.896,1477.541,1452.282,1434.954,1397.060,1384.261,1361.876,1359.727,1343.897,1331.540,1310.094,1150.555,1121.170,1103.167,1079.875,1068.440,1042.644,1012.703,1011.618,907.289,872.972,852.704,833.652,821.086,779.181,737.285,713.934,687.192,647.132,642.074,605.410,592.178,522.726,495.029,475.635,457.870,451.264,388.291,371.867,346.279,315.266,303.583,293.865,289.498,282.829,281.742,280.152,264.128,262.003,254.602,216.442,215.120,209.674,195.025,194.857,190.861,190.308,186.149,181.893,158.912,141.625,105.197,93.578,92.048,84.123,76.462,69.132
