gen,brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9,brain10,brain11,brain12,brain13,brain14,brain15,brain16,brain17,brain18,brain19,brain20,brain21,brain22,brain23,brain24,brain25,brain26,brain27,brain28,brain29,brain30,brain31,brain32,brain33,brain34,brain35,brain36,brain37,brain38,brain39,brain40,brain41,brain42,brain43,brain44,brain45,brain46,brain47,brain48,brain49,brain50,brain51,brain52,brain53,brain54,brain55,brain56,brain57,brain58,brain59,brain60,brain61,brain62,brain63,brain64,brain65,brain66,brain67,brain68,brain69,brain70,brain71,brain72,brain73,brain74,brain75,brain76,brain77,brain78,brain79,brain80,brain81,brain82,brain83,brain84,brain85,brain86,brain87,brain88,brain89,brain90,brain91,brain92,brain93,brain94,brain95,brain96,brain97,brain98,brain99,brain100
236,2479.089,2475.884,2473.095,2433.710,2433.112,2425.449,2421.513,2395.686,2388.623,2369.758,2364.397,2337.182,2336.649,2333.457,2326.658,2319.855,2307.334,2299.433,2298.509,2270.711,2210.283,2173.622,2160.619,2159.504,2155.316,2147.238,2146.538,2138.486,2112.068,2062.334,2048.486,2047.167,1986.893,1895.283,1839.143,1807.370,1796.251,1750.446,1743.084,1715.118,1675.160,1663.540,1608.948,1592.030,1409.754,1314.717,1136.603,1125.772,1124.089,951.612,911.734,911.692,910.862,867.820,862.823,840.473,812.248,791.543,790.312,785.679,742.239,489.749,432.881,398.715,397.014,394.914,389.589,389.280,388.310,388.290,387.857,386.778,384.554,383.945,352.198,310.749,286.740,282.443,275.649,256.767,255.915,249.838,242.719,230.365,228.695,223.202,198.474,197.036,186.179,183.218,144.444,111.381,106.324,103.679,98.451,94.801,71.218,49.185,42.036,35.992
237,2569.029,2481.030,2477.587,2429.392,2425.040,2400.175,2388.527,2384.062,2380.774,2375.889,2368.879,2365.114,2356.730,2348.848,2337.909,2330.344,2329.319,2325.565,2321.079,2314.301,2279.000,2276.602,2271.086,2243.753,2213.063,2185.767,2156.431,2149.228,2137.327,2093.290,2047.412,2008.230,1948.016,1870.818,1849.959,1848.524,1759.497,1754.617,1744.880,1699.310,1662.239,1649.098,1648.722,1645.354,1632.164,1631.459,1623.541,1609.295,1539.723,1510.855,1496.901,1310.461,1290.029,1199.220,1108.014,1013.003,1011.413,1010.053,1005.039,847.943,484.865,448.458,437.149,418.466,418.466,406.878,395.638,393.650,392.454,372.083,372.083,370.564,364.825,362.829,314.912,311.732,286.862,278.674,253.159,244.848,243.401,237.382,230.180,229.038,224.931,223.331,219.957,216.820,215.765,194.712,190.162,187.433,168.258,156.036,154.791,134.993,87.736,87.467,74.607,45.795
238,2529.291,2472.681,2471.360,2450.578,2435.726,2428.554,2425.401,2417.448,2415.320,2397.771,2382.920,2380.482,2377.826,2365.487,2349.292,2347.739,2330.659,2325.202,2320.577,2299.540,2293.172,2284.869,2235.645,2188.811,2146.264,2125.752,2093.532,2084.552,2074.877,2057.372,2055.752,2047.997,2000.925,2000.719,1979.190,1950.104,1924.696,1897.184,1826.571,1819.225,1803.548,1719.979,1653.692,1623.179,1613.407,1604.058,1598.638,1504.716,1455.829,1445.273,1329.741,1240.753,1019.417,956.258,467.491,453.937,443.455,442.310,438.392,436.567,425.280,407.026,406.416,395.869,387.799,386.627,380.891,367.695,363.633,363.151,362.308,362.235,360.518,351.487,349.369,286.934,274.276,260.834,257.147,254.880,254.207,244.752,195.564,180.811,153.179,151.605,150.766,134.987,132.527,128.894,124.779,122.915,118.960,113.867,111.709,100.927,100.698,91.580,72.668,35.120
239,2530.749,2522.512,2480.053,2470.613,2431.740,2429.782,2392.732,2383.196,2380.012,2377.480,2370.844,2365.205,2356.301,2346.891,2346.762,2345.224,2323.622,2303.579,2299.193,2295.057,2283.436,2282.863,2253.306,2232.702,2185.902,2157.453,2135.902,2115.791,2084.983,2036.700,1993.927,1949.003,1942.548,1913.170,1901.539,1847.766,1826.823,1816.822,1815.320,1699.118,1607.046,1562.891,1554.349,1507.736,1397.754,1362.468,1351.415,1253.634,1213.616,1159.133,1137.430,1095.532,1067.622,958.160,815.074,754.703,745.882,743.483,625.057,549.059,541.849,529.975,499.318,489.099,488.118,475.967,446.624,445.620,421.494,395.635,393.989,392.274,391.009,388.638,387.016,386.984,364.205,341.276,321.145,297.409,240.222,234.273,232.899,221.127,210.264,169.278,164.983,162.217,156.922,152.697,141.095,140.820,140.483,107.328,97.403,73.878,72.513,63.190,57.163,52.157
240,2256.577,2227.323,2225.174,2224.524,2191.588,2183.234,2175.573,2174.113,2156.093,2128.440,2127.872,2096.245,2084.276,2084.200,2083.899,2066.584,2051.351,2042.742,2035.784,2029.948,2023.042,2019.562,2017.617,2010.273,2008.701,2003.664,2001.805,1930.966,1917.644,1898.915,1822.641,1763.136,1753.560,1753.560,1636.818,1597.715,1551.986,1455.636,1421.727,1384.092,1367.360,1367.244,1331.436,1328.891,1264.388,1245.605,1245.605,1137.195,1034.817,958.980,958.903,950.214,874.528,812.235,790.414,752.990,585.084,561.870,521.418,477.916,472.610,444.391,436.979,430.298,429.582,409.672,406.746,406.215,385.211,374.536,370.413,357.060,315.649,313.020,302.967,278.765,275.302,273.571,264.412,244.284,241.000,240.843,218.257,193.185,182.885,150.757,142.705,140.224,136.756,127.489,122.068,115.301,93.512,62.817,52.419,50.214,49.323,41.326,21.481,-2.006
241,2279.468,2248.029,2225.057,2223.034,2221.732,2208.098,2176.662,2154.505,2143.042,2137.527,2130.015,2117.895,2116.978,2109.249,2093.955,2092.225,2086.558,2081.580,2076.296,2042.734,2017.330,2016.024,2005.462,1964.624,1947.751,1906.014,1870.135,1796.918,1768.962,1757.511,1738.201,1729.829,1728.582,1728.007,1644.981,1550.126,1527.640,1507.581,1414.959,1403.312,1393.698,1330.503,1323.885,1053.353,997.846,953.305,833.425,747.099,629.813,581.142,551.856,505.936,485.948,472.234,429.087,419.882,400.364,384.338,382.478,381.957,381.917,381.550,376.040,375.869,357.594,356.698,346.981,335.651,331.799,297.380,256.866,254.629,250.736,232.835,208.870,207.416,203.514,188.419,188.249,186.044,180.827,171.654,160.996,158.258,158.028,144.228,131.626,130.458,121.022,113.407,106.836,105.519,100.714,95.582,89.716,72.254,71.652,47.901,35.220,30.562
242,2272.669,2271.378,2233.377,2221.786,2221.257,2221.211,2189.569,2177.816,2157.169,2148.900,2139.226,2136.982,2132.895,2111.735,2102.681,2089.047,2087.632,2064.426,2063.902,2063.886,2053.040,2047.063,2046.125,2039.871,2024.828,2018.685,2003.034,1970.829,1964.369,1948.425,1923.164,1897.809,1866.491,1826.215,1786.187,1777.356,1755.571,1755.571,1751.749,1732.831,1721.438,1708.174,1708.174,1639.434,1579.348,1557.426,1554.098,1524.571,1411.107,1329.732,1262.096,1250.953,1191.676,1180.709,1153.529,1152.644,1122.675,1095.528,1077.621,873.457,851.855,851.123,794.483,760.238,628.971,522.807,478.153,439.393,426.631,424.053,420.663,382.751,381.154,377.181,375.030,353.831,320.047,310.216,304.540,302.284,276.932,274.453,270.837,267.557,252.195,250.850,237.816,213.884,200.475,165.756,153.638,151.385,139.878,121.938,106.230,103.675,98.451,84.678,72.224,51.737
243,2321.018,2276.086,2229.938,2228.842,2224.931,2192.647,2185.797,2178.187,2173.619,2165.304,2134.584,2132.577,2132.417,2120.579,2114.446,2093.757,2084.026,2081.117,2079.426,2065.127,2064.988,2063.451,2050.952,2039.167,2015.303,1972.845,1951.853,1915.681,1855.555,1824.054,1806.928,1716.010,1681.738,1678.240,1648.476,1614.931,1571.018,1542.397,1501.630,1397.552,1352.646,1278.698,1271.801,1236.613,1198.223,1188.406,1184.664,1177.235,1143.517,1034.901,863.857,742.632,678.465,519.920,485.389,437.216,435.460,401.183,399.620,393.174,391.887,389.487,389.001,379.728,376.468,356.787,340.476,339.021,338.553,330.249,321.495,295.405,293.051,283.328,283.199,282.681,275.552,272.164,268.091,260.869,249.627,181.944,172.986,168.163,157.723,149.987,148.756,146.936,133.485,126.394,120.306,120.095,115.282,104.881,83.103,78.400,78.121,68.597,42.473,42.260
244,2293.221,2279.066,2221.914,2220.751,2187.614,2187.580,2184.674,2177.315,2174.041,2141.873,2133.628,2126.622,2118.965,2111.012,2108.483,2107.582,2084.609,2082.802,2077.886,2070.801,2062.339,2044.604,2038.944,2033.904,2017.515,2017.465,1998.370,1998.370,1970.829,1968.030,1931.060,1926.968,1914.308,1879.730,1879.730,1762.597,1738.762,1560.945,1466.550,1425.611,1371.216,1307.292,1269.640,1182.154,1140.980,1132.223,1054.592,1014.301,1000.780,846.379,716.925,707.223,576.916,537.068,494.226,487.175,468.783,458.868,451.348,446.214,426.030,421.417,404.871,400.596,388.695,385.838,385.681,379.357,368.963,358.372,353.595,335.513,302.835,294.395,283.202,271.995,256.031,254.136,227.693,219.777,195.601,182.242,182.102,181.524,177.136,175.760,175.392,166.248,146.324,129.613,126.469,115.422,111.694,106.969,102.645,96.275,96.070,94.556,89.687,86.977
245,2276.047,2270.269,2204.655,2185.924,2185.254,2180.211,2173.423,2171.059,2160.911,2134.874,2134.018,2130.276,2125.988,2105.059,2104.461,2098.396,2095.975,2089.139,2085.613,2077.257,2044.132,2038.883,2022.863,2003.358,1960.838,1959.380,1954.783,1904.300,1870.044,1864.844,1763.588,1738.611,1730.493,1726.477,1697.635,1538.235,1510.805,1414.060,1372.016,1166.961,1144.462,1142.318,983.564,938.418,894.166,857.410,807.046,805.780,796.138,718.721,718.539,710.862,675.171,626.247,570.281,536.416,507.328,455.993,436.431,436.221,433.047,426.763,426.022,423.382,423.299,408.731,405.215,389.533,383.022,380.702,378.784,373.289,370.282,311.488,302.013,287.889,287.604,282.580,278.323,271.482,260.741,260.379,252.964,236.837,219.495,219.094,180.541,172.991,145.374,125.031,124.136,123.332,122.294,111.984,107.179,101.860,77.255,61.963,32.693,30.613
