gen,brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9,brain10,brain11,brain12,brain13,brain14,brain15,brain16,brain17,brain18,brain19,brain20,brain21,brain22,brain23,brain24,brain25,brain26,brain27,brain28,brain29,brain30,brain31,brain32,brain33,brain34,brain35,brain36,brain37,brain38,brain39,brain40,brain41,brain42,brain43,brain44,brain45,brain46,brain47,brain48,brain49,brain50,brain51,brain52,brain53,brain54,brain55,brain56,brain57,brain58,brain59,brain60,brain61,brain62,brain63,brain64,brain65,brain66,brain67,brain68,brain69,brain70,brain71,brain72,brain73,brain74,brain75,brain76,brain77,brain78,brain79,brain80,brain81,brain82,brain83,brain84,brain85,brain86,brain87,brain88,brain89,brain90,brain91,brain92,brain93,brain94,brain95,brain96,brain97,brain98,brain99,brain100
89,495.152,467.269,459.066,458.207,457.083,448.755,444.570,443.109,440.695,439.638,439.527,438.790,436.564,432.268,430.838,410.913,408.640,408.509,406.390,402.917,401.289,391.126,387.881,380.536,362.601,355.073,344.589,330.469,320.208,318.146,317.997,316.221,312.133,311.517,300.499,294.692,291.165,287.611,287.215,280.555,277.960,272.413,270.227,264.394,231.968,230.420,229.808,229.053,227.356,222.613,210.121,186.855,178.451,177.649,170.680,163.388,120.606,114.318,111.995,110.964,108.366,100.470,95.768,90.581,78.444,77.897,70.530,65.950,63.323,61.429,54.422,52.857,51.263,47.357,44.886,43.738,43.543,42.759,32.120,31.791,30.898,25.682,22.756,22.311,21.555,18.255,17.210,16.576,16.068,12.196,9.543,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
90,474.540,463.434,453.185,451.905,450.408,449.239,448.137,442.661,442.007,440.378,439.712,428.410,419.010,413.954,412.938,409.497,408.255,407.555,402.918,398.279,395.947,388.744,363.207,359.244,340.848,323.951,321.727,314.533,313.408,311.772,308.622,307.768,304.778,296.394,294.442,293.884,285.535,284.606,283.431,279.979,278.652,274.777,272.172,270.307,268.765,263.516,263.042,261.041,250.430,237.994,220.860,219.696,211.043,203.258,175.859,168.890,168.108,165.154,160.514,157.630,151.337,150.600,140.329,137.034,132.873,114.336,101.512,97.688,91.565,71.861,65.488,57.518,56.828,51.438,50.628,45.592,45.198,42.710,42.338,39.047,32.274,29.105,27.480,25.247,23.417,17.331,17.006,15.802,15.509,15.064,9.626,9.351,2.578,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
91,527.541,492.275,480.433,472.039,442.186,439.623,438.940,435.648,429.816,429.147,427.134,426.898,422.486,420.252,416.152,410.911,409.918,407.314,398.349,392.310,387.725,375.778,357.540,352.073,341.805,330.762,324.382,317.104,311.010,310.335,307.764,306.316,304.139,297.253,291.023,286.867,286.360,281.580,276.472,273.420,268.945,266.050,265.607,264.547,253.859,245.329,214.888,200.393,189.639,186.127,185.226,183.048,180.717,174.081,172.451,167.498,166.990,139.655,136.096,134.513,117.056,112.167,103.780,99.669,85.814,82.406,81.424,76.755,72.787,71.148,68.040,58.305,54.711,51.598,44.823,43.207,40.805,40.064,38.154,38.113,33.132,32.523,31.021,30.498,28.861,26.073,25.407,22.775,22.722,17.704,16.719,10.096,9.355,9.352,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
92,494.596,477.738,469.976,451.751,450.788,440.319,436.164,429.697,427.724,427.703,414.715,412.878,405.668,404.510,399.035,395.181,395.127,394.573,390.962,388.331,380.306,367.787,357.149,350.792,347.034,329.369,320.028,315.305,314.660,312.321,310.743,308.342,305.404,304.695,301.060,301.035,300.228,298.456,296.019,286.247,281.494,280.606,279.905,278.388,274.921,270.344,269.687,268.426,264.431,260.040,256.320,247.490,237.518,230.549,224.202,223.327,214.267,213.044,208.021,195.153,163.666,162.772,148.065,145.540,143.962,134.319,120.284,117.748,113.797,110.443,97.551,87.262,80.275,68.859,58.903,55.458,48.968,40.320,38.587,33.570,33.093,32.391,32.159,31.140,28.812,26.684,25.324,19.922,18.129,17.519,16.483,15.868,10.399,9.881,9.467,-2.265,-2.265,-2.265,-2.265,-2.265
93,535.522,469.157,442.566,439.463,439.253,436.689,431.648,427.314,425.730,425.641,422.961,419.156,418.132,417.961,414.840,402.768,402.034,401.264,400.667,393.732,386.787,383.354,370.356,362.208,345.948,315.214,311.614,311.370,305.840,280.220,279.605,276.406,272.831,272.315,271.838,271.511,270.765,269.896,268.184,260.643,242.169,235.301,234.672,233.561,225.876,221.896,209.751,208.331,188.231,174.526,164.119,163.205,161.408,147.295,142.401,141.884,136.683,127.372,125.613,113.426,89.016,87.487,80.362,78.705,77.788,71.847,71.330,57.137,55.946,46.072,45.352,39.415,36.834,36.097,35.398,33.513,33.354,28.074,27.281,24.999,21.511,19.204,17.729,16.746,15.638,15.352,12.095,9.346,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
94,500.572,489.876,485.756,471.448,468.261,463.837,459.716,453.450,450.563,447.901,444.758,442.837,442.229,440.521,427.465,417.648,392.124,390.377,388.455,387.264,377.422,373.127,340.057,331.814,325.021,324.678,323.308,319.919,318.117,307.656,307.243,306.479,306.479,305.213,304.422,302.750,289.804,288.121,285.489,283.372,275.320,275.034,271.434,268.546,264.465,264.261,264.168,260.571,254.635,253.341,251.102,250.668,247.037,239.543,221.392,214.733,204.076,203.617,203.175,203.175,202.153,184.580,175.529,152.015,127.468,107.829,102.807,97.117,92.800,92.607,89.867,86.698,82.361,80.589,80.306,72.414,62.361,56.244,41.519,39.895,39.464,39.343,38.417,37.729,36.013,34.817,32.447,30.065,29.363,24.779,19.941,18.432,16.023,12.486,9.851,6.412,-2.265,-2.265,-2.265,-2.265
95,543.372,473.226,464.806,460.448,456.934,444.249,438.493,437.262,436.179,434.984,430.976,418.691,418.169,413.391,411.486,407.303,404.127,400.195,393.524,383.659,364.480,359.533,350.059,345.232,344.759,334.918,328.595,327.846,324.716,320.573,316.753,306.928,306.768,304.674,300.921,300.548,298.998,298.520,295.385,292.662,289.466,286.713,281.875,281.723,277.133,276.008,275.805,260.063,253.447,235.046,227.216,227.216,214.687,209.867,191.831,169.583,144.690,133.427,132.051,131.903,128.976,127.934,122.542,115.028,111.554,110.602,106.520,99.057,95.657,90.811,88.752,88.752,82.218,76.717,76.614,75.985,68.859,68.818,60.624,58.136,51.571,45.509,40.279,40.072,39.636,36.125,32.935,30.532,22.192,21.640,15.482,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
96,508.582,471.609,463.665,456.245,447.912,447.861,446.897,444.311,439.550,428.008,420.410,418.459,418.311,414.410,410.704,409.321,401.321,380.908,379.336,377.721,373.808,366.373,359.654,338.339,333.671,327.078,324.977,319.047,316.692,308.197,304.100,303.951,303.951,301.718,301.145,301.145,298.836,290.146,283.082,277.466,277.174,275.106,271.037,258.846,250.221,248.828,226.245,225.761,202.383,196.267,195.459,187.749,187.331,183.791,175.295,165.636,157.450,157.205,143.394,143.319,142.605,137.130,135.181,112.662,103.812,103.014,95.954,91.613,86.163,82.659,61.131,52.974,50.753,46.580,44.284,44.240,42.464,39.560,38.667,37.130,35.348,29.167,28.570,23.596,23.143,17.350,12.482,12.349,11.325,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
97,530.806,485.429,469.076,465.086,457.305,456.433,450.598,439.699,434.888,434.000,433.816,420.247,420.147,418.999,412.302,406.139,402.930,397.870,396.692,375.054,375.054,372.864,365.059,343.163,339.146,326.362,318.069,317.688,312.091,304.547,299.232,298.931,296.106,295.678,291.718,290.801,288.798,284.294,283.345,282.783,281.051,279.188,272.849,272.849,269.612,269.102,264.185,263.311,257.777,251.352,244.334,217.026,216.285,210.923,209.547,205.972,197.832,187.045,186.915,185.093,181.225,171.535,146.855,130.528,126.322,124.807,117.838,101.299,91.539,82.447,69.386,65.400,59.422,57.274,56.984,50.663,50.435,46.822,44.417,43.779,40.820,37.948,36.794,35.861,34.814,34.538,31.965,27.829,18.893,18.007,14.707,10.059,9.547,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
98,508.145,492.972,470.303,470.061,458.804,454.748,449.577,446.259,437.824,433.337,430.722,427.653,422.498,417.265,417.031,412.167,406.285,406.214,399.496,397.484,397.097,390.747,379.466,372.105,371.457,361.151,355.411,340.751,339.677,333.645,332.194,327.384,313.396,312.960,306.961,306.157,304.797,298.263,294.173,293.632,292.081,278.693,278.477,265.369,264.555,262.211,257.809,256.834,247.487,221.735,206.926,189.108,187.637,165.182,155.140,148.358,143.095,140.525,134.212,113.026,99.171,94.814,84.473,78.690,74.099,65.903,65.389,60.177,59.513,59.343,55.151,47.574,43.840,40.654,40.540,37.608,37.217,36.659,35.587,34.190,33.941,22.673,21.636,19.895,13.727,10.708,10.065,9.823,9.522,9.347,-0.332,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
99,472.763,461.558,460.994,455.648,447.751,447.478,440.528,435.099,432.740,431.030,430.027,427.897,426.858,424.725,414.617,401.125,396.849,387.208,386.747,373.588,371.342,364.520,355.868,354.145,351.410,340.888,328.911,323.093,321.511,319.748,319.648,318.955,304.499,301.952,301.186,277.537,264.493,257.111,236.803,217.841,211.672,208.724,199.672,198.439,172.025,171.734,164.584,148.571,126.324,115.285,97.549,94.111,83.902,83.406,78.217,76.002,74.214,67.408,66.071,64.509,62.145,59.430,57.367,57.209,52.518,51.903,48.252,45.165,44.995,39.324,38.437,37.479,37.227,35.745,33.556,33.536,30.848,25.979,22.750,21.925,20.139,16.823,15.087,12.977,12.906,12.564,12.201,10.018,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265,-2.265
100,474.321,465.542,442.146,439.187,435.669,417.192,415.892,414.135,411.847,405.014,404.073,401.195,396.349,387.807,381.752,378.744,373.064,369.437,366.321,356.401,354.007,350.753,335.493,330.118,326.529,323.027,320.767,315.920,307.894,306.490,306.055,304.264,301.888,301.579,300.632,298.322,292.422,291.827,287.334,283.119,275.668,270.996,261.332,258.818,256.470,256.355,230.862,220.798,214.162,175.400,148.969,142.619,141.190,140.342,138.042,137.648,137.294,123.921,118.590,113.415,106.214,98.327,87.334,84.884,81.874,78.920,75.440,73.121,70.439,66.165,60.898,57.617,56.430,43.965,42.610,40.891,40.448,37.536,37.444,33.516,32.813,29.334,27.804,27.309,26.178,22.277,20.691,19.933,13.060,-1.812,-1.812,-1.812,-1.812,-1.812,-1.812,-1.812,-1.812,-1.812,-1.812,-1.812
